0;0;0;
1;1;0.01;
2;2;0.02;
3;3;0.03;
4;4;0.04;
5;5;0.05;
6;6;0.06;
7;7;0.07;
8;8;0.08;
9;9;0.09;
10;10;0.1;
11;11;0.11;
12;12;0.12;
13;13;0.13;
14;14;0.14;
15;15;0.15;
16;16;0.16;
17;17;0.17;
18;18;0.18;
19;19;0.19;
20;20;0.2;
21;21;0.21;
22;22;0.22;
23;23;0.23;
24;24;0.24;
25;25;0.25;
26;26;0.26;
27;27;0.27;
28;28;0.28;
29;29;0.29;
30;30;0.3;
31;31;0.31;
32;32;0.32;
33;33;0.33;
34;34;0.34;
35;35;0.35;
36;36;0.36;
37;37;0.37;
38;38;0.38;
39;39;0.39;
40;40;0.4;
41;41;0.41;
42;42;0.42;
43;43;0.43;
44;44;0.44;
45;45;0.45;
46;46;0.46;
47;47;0.47;
48;48;0.48;
49;49;0.49;
50;50;0.5;
51;51;0.51;
52;52;0.52;
53;53;0.53;
54;54;0.54;
55;55;0.55;
56;56;0.56;
57;57;0.57;
58;58;0.58;
59;59;0.59;
60;60;0.6;
61;61;0.61;
62;62;0.62;
63;63;0.63;
64;64;0.64;
65;65;0.65;
66;66;0.66;
67;67;0.67;
68;68;0.68;
69;69;0.69;
70;70;0.7;
71;71;0.71;
72;72;0.72;
73;73;0.73;
74;74;0.74;
75;75;0.75;
76;76;0.76;
77;77;0.77;
78;78;0.78;
79;79;0.79;
80;80;0.8;
81;81;0.81;
82;82;0.82;
83;83;0.83;
84;84;0.84;
85;85;0.85;
86;86;0.86;
87;87;0.87;
88;88;0.88;
89;89;0.89;
90;90;0.9;
91;91;0.91;
92;92;0.92;
93;93;0.93;
94;94;0.94;
95;95;0.95;
96;96;0.96;
97;97;0.97;
98;98;0.98;
99;99;0.99;
32742;32749;0;
32731;32739;0;
32719;32730;0;
32707;32721;0;
32695;32711;0;
32683;32702;0;
32671;32693;0;
32660;32683;0;
32648;32674;0;
32636;32664;0;
32624;32655;0;
32612;32646;0;
32600;32636;0;
32589;32627;0;
32577;32618;0;
32565;32608;0;
32553;32599;0;
32541;32589;0;
32530;32580;0;
32518;32571;0;
32506;32561;0;
32494;32552;0;
32482;32543;0;
32470;32533;0;
32458;32524;0;
32446;32514;0;
32434;32505;0;
32423;32495;0;
32411;32486;0;
32399;32476;0;
32387;32467;0;
32375;32457;0;
32363;32448;0;
32352;32438;0;
32340;32429;0;
32328;32420;0;
32316;32410;0;
32304;32401;0;
32293;32392;0;
32281;32382;0;
32269;32373;0;
32257;32363;0;
32245;32354;0;
32233;32345;0;
32222;32335;0;
32210;32326;0;
32198;32317;0;
32186;32307;0;
32174;32298;0;
32162;32288;0;
32151;32279;0;
32138;32270;0;
32127;32260;0;
32115;32251;0;
32103;32242;0;
32092;32232;0;
32079;32223;0;
32067;32213;0;
32056;32204;0;
32044;32194;0;
32032;32185;0;
32020;32175;0;
32008;32166;0;
31996;32156;0;
31985;32147;0;
31973;32138;0;
31961;32128;0;
31949;32119;0;
31937;32109;0;
31926;32100;0;
31914;32091;0;
31902;32081;0;
31891;32072;0;
31879;32062;0;
31866;32053;0;
31855;32044;0;
31843;32034;0;
